frame,kernel,time_ms
0,add_source,0.057248
0,add_source,0.025312
0,project_div,0.027328
0,project_grad,0.040096
0,advect,0.024256
0,advect,0.022592
0,project_div,0.029696
0,project_grad,0.039488
0,add_source,0.022720
0,advect,0.029056
0,add_source,0.020992
0,advect,0.029216
0,add_source,0.022080
0,advect,0.029312
1,decay,0.095456
1,clear_sources,0.033792
1,toRGBA,0.039232
1,add_source,0.035168
1,add_source,0.022144
1,project_div,0.027840
1,project_grad,0.040384
1,advect,0.024032
1,advect,0.023776
1,project_div,0.028544
1,project_grad,0.040352
1,add_source,0.021664
1,advect,0.029248
1,add_source,0.021408
1,advect,0.029056
1,add_source,0.020352
1,advect,0.029344
2,decay,0.094048
2,clear_sources,0.033184
2,toRGBA,0.029984
2,add_source,0.032928
2,add_source,0.024576
2,project_div,0.027008
2,project_grad,0.039776
2,advect,0.024576
2,advect,0.024032
2,project_div,0.027616
2,project_grad,0.039808
2,add_source,0.022336
2,advect,0.028864
2,add_source,0.021248
2,advect,0.029184
2,add_source,0.022048
2,advect,0.029568
3,decay,0.095104
3,clear_sources,0.032608
3,toRGBA,0.030592
3,add_source,0.031808
3,add_source,0.022912
3,project_div,0.027456
3,project_grad,0.039232
3,advect,0.024992
3,advect,0.023040
3,project_div,0.027616
3,project_grad,0.039744
3,add_source,0.022848
3,advect,0.029152
3,add_source,0.021280
3,advect,0.029344
3,add_source,0.021184
3,advect,0.029344
4,decay,0.095840
4,clear_sources,0.035040
4,toRGBA,0.030400
4,add_source,0.032864
4,add_source,0.024160
4,project_div,0.027072
4,project_grad,0.039136
4,advect,0.023584
4,advect,0.022624
4,project_div,0.028384
4,project_grad,0.040672
4,add_source,0.022752
4,advect,0.029088
4,add_source,0.020480
4,advect,0.029056
4,add_source,0.021152
4,advect,0.029216
5,decay,0.094656
5,clear_sources,0.032256
5,toRGBA,0.030784
5,add_source,0.031424
5,add_source,0.022464
5,project_div,0.027136
5,project_grad,0.041472
5,advect,0.024064
5,advect,0.022656
5,project_div,0.028640
5,project_grad,0.039360
5,add_source,0.022560
5,advect,0.029088
5,add_source,0.020000
5,advect,0.028992
5,add_source,0.020128
5,advect,0.029440
6,decay,0.093696
6,clear_sources,0.032480
6,toRGBA,0.029376
6,add_source,0.030304
6,add_source,0.022592
6,project_div,0.027296
6,project_grad,0.039296
6,advect,0.023840
6,advect,0.024800
6,project_div,0.027360
6,project_grad,0.040000
6,add_source,0.023008
6,advect,0.029216
6,add_source,0.021312
6,advect,0.029120
6,add_source,0.021024
6,advect,0.029536
7,decay,0.095136
7,clear_sources,0.032608
7,toRGBA,0.029440
7,add_source,0.034688
7,add_source,0.022720
7,project_div,0.027360
7,project_grad,0.039264
7,advect,0.024096
7,advect,0.023072
7,project_div,0.029184
7,project_grad,0.040064
7,add_source,0.023520
7,advect,0.029152
7,add_source,0.021216
7,advect,0.029184
7,add_source,0.021472
7,advect,0.029280
8,decay,0.094816
8,clear_sources,0.034048
8,toRGBA,0.030272
8,add_source,0.033280
8,add_source,0.022784
8,project_div,0.027264
8,project_grad,0.039616
8,advect,0.024032
8,advect,0.023392
8,project_div,0.028416
8,project_grad,0.039232
8,add_source,0.022752
8,advect,0.029216
8,add_source,0.021984
8,advect,0.029088
8,add_source,0.021408
8,advect,0.029376
9,decay,0.092224
9,clear_sources,0.033280
9,toRGBA,0.029504
9,add_source,0.035680
9,add_source,0.022592
9,project_div,0.026944
9,project_grad,0.040128
9,advect,0.023872
9,advect,0.023424
9,project_div,0.027936
9,project_grad,0.040448
9,add_source,0.022624
9,advect,0.029056
9,add_source,0.020544
9,advect,0.029248
9,add_source,0.021536
9,advect,0.029376
10,decay,0.093824
10,clear_sources,0.033056
10,toRGBA,0.030784
10,add_source,0.037472
10,add_source,0.023968
10,project_div,0.027008
10,project_grad,0.038720
10,advect,0.024800
10,advect,0.023712
10,project_div,0.028416
10,project_grad,0.040160
10,add_source,0.023008
10,advect,0.029152
10,add_source,0.021440
10,advect,0.029184
10,add_source,0.021472
10,advect,0.029408
11,decay,0.093632
11,clear_sources,0.032960
11,toRGBA,0.030144
11,add_source,0.035520
11,add_source,0.023392
11,project_div,0.027040
11,project_grad,0.039520
11,advect,0.024640
11,advect,0.023712
11,project_div,0.027872
11,project_grad,0.039488
11,add_source,0.022976
11,advect,0.029120
11,add_source,0.021472
11,advect,0.029152
11,add_source,0.021760
11,advect,0.029248
12,decay,0.095744
12,clear_sources,0.033216
12,toRGBA,0.030688
12,add_source,0.033952
12,add_source,0.022880
12,project_div,0.027648
12,project_grad,0.040224
12,advect,0.024896
12,advect,0.023136
12,project_div,0.027296
12,project_grad,0.038208
12,add_source,0.022176
12,advect,0.029024
12,add_source,0.021088
12,advect,0.029120
12,add_source,0.021152
12,advect,0.029376
13,decay,0.094272
13,clear_sources,0.033472
13,toRGBA,0.030528
13,add_source,0.033920
13,add_source,0.022656
13,project_div,0.027520
13,project_grad,0.039680
13,advect,0.024288
13,advect,0.023968
13,project_div,0.028864
13,project_grad,0.040544
13,add_source,0.022208
13,advect,0.029312
13,add_source,0.020928
13,advect,0.029504
13,add_source,0.021088
13,advect,0.029248
14,decay,0.093824
14,clear_sources,0.033312
14,toRGBA,0.030560
14,add_source,0.034816
14,add_source,0.023136
14,project_div,0.027648
14,project_grad,0.039840
14,advect,0.024800
14,advect,0.023520
14,project_div,0.028672
14,project_grad,0.040992
14,add_source,0.023264
14,advect,0.029120
14,add_source,0.021408
14,advect,0.029088
14,add_source,0.021632
14,advect,0.029088
15,decay,0.095200
15,clear_sources,0.033696
15,toRGBA,0.030368
15,add_source,0.031712
15,add_source,0.022976
15,project_div,0.027424
15,project_grad,0.039744
15,advect,0.024416
