frame,kernel,time_ms
0,add_source,0.303552
0,add_source,0.283168
0,project_div,0.374720
0,project_grad,0.585088
0,advect,0.283104
0,advect,0.282752
0,project_div,0.373952
0,project_grad,0.584128
0,add_source,0.282656
0,advect,0.372992
0,add_source,0.279488
0,advect,0.372800
0,add_source,0.281888
0,advect,0.372800
1,decay,1.486496
1,clear_sources,0.450656
1,toRGBA,0.380000
1,add_source,0.299456
1,add_source,0.285248
1,project_div,0.374624
1,project_grad,0.582752
1,advect,0.283232
1,advect,0.283360
1,project_div,0.373504
1,project_grad,0.580256
1,add_source,0.282624
1,advect,0.373056
1,add_source,0.280896
1,advect,0.372928
1,add_source,0.281248
1,advect,0.372224
2,decay,1.479072
2,clear_sources,0.449920
2,toRGBA,0.369248
2,add_source,0.299424
2,add_source,0.282176
2,project_div,0.375520
2,project_grad,0.579072
2,advect,0.282528
2,advect,0.282304
2,project_div,0.373344
2,project_grad,0.581792
2,add_source,0.281344
2,advect,0.372576
2,add_source,0.281312
2,advect,0.372416
2,add_source,0.282048
2,advect,0.372256
3,decay,1.483648
3,clear_sources,0.449792
3,toRGBA,0.369760
3,add_source,0.297920
3,add_source,0.282944
3,project_div,0.375168
3,project_grad,0.586016
3,advect,0.282496
3,advect,0.282272
3,project_div,0.373184
3,project_grad,0.583424
3,add_source,0.281664
3,advect,0.372448
3,add_source,0.281568
3,advect,0.372288
3,add_source,0.280416
3,advect,0.372064
4,decay,1.477216
4,clear_sources,0.451008
4,toRGBA,0.369088
4,add_source,0.298080
4,add_source,0.284256
4,project_div,0.375072
4,project_grad,0.579424
4,advect,0.282432
4,advect,0.282048
4,project_div,0.374560
4,project_grad,0.586784
4,add_source,0.281344
4,advect,0.372896
4,add_source,0.282976
4,advect,0.372416
4,add_source,0.280224
4,advect,0.372352
5,decay,1.474752
5,clear_sources,0.450016
5,toRGBA,0.369120
5,add_source,0.298816
5,add_source,0.283360
5,project_div,0.375424
5,project_grad,0.572736
5,advect,0.281536
5,advect,0.282112
5,project_div,0.373120
5,project_grad,0.572384
5,add_source,0.279968
5,advect,0.372352
5,add_source,0.282720
5,advect,0.371872
5,add_source,0.280832
5,advect,0.372160
6,decay,1.472384
6,clear_sources,0.450016
6,toRGBA,0.368800
6,add_source,0.295584
6,add_source,0.285920
6,project_div,0.375488
6,project_grad,0.582208
6,advect,0.282112
6,advect,0.284224
6,project_div,0.372512
6,project_grad,0.582240
6,add_source,0.283040
6,advect,0.372192
6,add_source,0.281472
6,advect,0.372192
6,add_source,0.282048
6,advect,0.372032
7,decay,1.475008
7,clear_sources,0.450400
7,toRGBA,0.369568
7,add_source,0.300576
7,add_source,0.282336
7,project_div,0.374976
7,project_grad,0.577280
7,advect,0.281376
7,advect,0.281088
7,project_div,0.373920
7,project_grad,0.576896
7,add_source,0.279264
7,advect,0.371552
7,add_source,0.282400
7,advect,0.371776
7,add_source,0.280224
7,advect,0.371904
8,decay,1.473216
8,clear_sources,0.450880
8,toRGBA,0.369120
8,add_source,0.296064
8,add_source,0.284480
8,project_div,0.375168
8,project_grad,0.570912
8,advect,0.281280
8,advect,0.281216
8,project_div,0.374112
8,project_grad,0.579968
8,add_source,0.283712
8,advect,0.372256
8,add_source,0.282848
8,advect,0.372128
8,add_source,0.282208
8,advect,0.372288
9,decay,1.470720
9,clear_sources,0.450432
9,toRGBA,0.368224
9,add_source,0.298144
9,add_source,0.282912
9,project_div,0.374176
9,project_grad,0.573856
9,advect,0.281472
9,advect,0.281632
9,project_div,0.373984
9,project_grad,0.576992
9,add_source,0.281536
9,advect,0.371904
9,add_source,0.281440
9,advect,0.371584
9,add_source,0.281792
9,advect,0.372096
10,decay,1.476320
10,clear_sources,0.449824
10,toRGBA,0.369184
10,add_source,0.295552
10,add_source,0.282336
10,project_div,0.375264
10,project_grad,0.576672
10,advect,0.281152
10,advect,0.281728
10,project_div,0.372608
10,project_grad,0.579520
10,add_source,0.280832
10,advect,0.371744
10,add_source,0.282080
10,advect,0.371552
10,add_source,0.283232
10,advect,0.371840
11,decay,1.471968
11,clear_sources,0.449664
11,toRGBA,0.369152
11,add_source,0.294784
11,add_source,0.282624
11,project_div,0.375296
